encode_1_cat,encode_2_cat,operation,probe_type,cue_position,run_num,probe_subtype,replace_cat,trial_num,jitter,rest_trigger,encode_1_img,encode_2_img,replace_img,probe_img
fruits,faces,maintain,3,right,1,novel,NA,1,3,0,stimuli/images/fruits/gala_apple.png,stimuli/images/faces/angela_merkel.png,stimuli/cues/maintain_cue_image.png,stimuli/images/fruits/leaning_pears03.png
faces,fruits,replace,3,left,1,novel,places,2,3,0,stimuli/images/faces/jj_watt.png,stimuli/images/fruits/mixed_grapes.png,stimuli/images/places/skyway_bridge.png,stimuli/images/fruits/fresh_pear.png
faces,places,maintain,1,right,1,uncued,NA,3,4,0,stimuli/images/faces/zoe_saldana.png,stimuli/images/places/piza.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/zoe_saldana.png
places,faces,maintain,3,left,1,novel,NA,4,5,0,stimuli/images/places/alamo.png,stimuli/images/faces/ryan_reynolds.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/texas_beach.png
faces,places,suppress,3,left,1,novel,NA,5,5,0,stimuli/images/faces/george_clooney.png,stimuli/images/places/aoraki.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/venus_williams.png
fruits,places,replace,2,right,1,uncued,faces,6,5,0,stimuli/images/fruits/cantaloupe_sliced03.png,stimuli/images/places/covered_bridge.png,stimuli/images/faces/aaron_rodgers.png,stimuli/images/fruits/cantaloupe_sliced03.png
faces,fruits,suppress,1,left,1,uncued,NA,7,5,0,stimuli/images/faces/macklemore.png,stimuli/images/fruits/canteloupe_sliced04.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/canteloupe_sliced04.png
places,faces,replace,0,right,1,lure,fruits,8,5,0,stimuli/images/places/cinderella_castle.png,stimuli/images/faces/rand_paul.png,stimuli/images/fruits/leaning_pears.png,stimuli/images/faces/rand_paul.png
places,fruits,suppress,1,left,1,uncued,NA,9,4,0,stimuli/images/places/gherkin.png,stimuli/images/fruits/gala_apple_leaf.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/gala_apple_leaf.png
fruits,places,suppress,3,right,1,novel,NA,10,3,0,stimuli/images/fruits/mixed_grapes02.png,stimuli/images/places/millau_bridge.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/sliced_honeydew02.png
fruits,faces,replace,0,right,1,lure,places,11,5,0,stimuli/images/fruits/honeydew_melon02.png,stimuli/images/faces/justin_bieber.png,stimuli/images/places/distant_mountains.png,stimuli/images/faces/justin_bieber.png
faces,places,maintain,0,right,1,cued,NA,12,5,0,stimuli/images/faces/blake_shelton.png,stimuli/images/places/royal_albert_hall.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/royal_albert_hall.png
faces,fruits,maintain,2,left,1,novel,NA,13,4,0,stimuli/images/faces/rihanna.png,stimuli/images/fruits/mixed_grapes03.png,stimuli/cues/maintain_cue_image.png,stimuli/images/faces/condoleezza_rice.png
fruits,faces,suppress,2,left,1,uncued,NA,14,3,0,stimuli/images/fruits/cut_cantaloupe.png,stimuli/images/faces/joe_biden.png,stimuli/cues/suppress_cue_image.png,stimuli/images/faces/joe_biden.png
faces,fruits,suppress,0,right,1,lure,NA,15,3,0,stimuli/images/faces/scarlett_johansson.png,stimuli/images/fruits/mixed_grapes05.png,stimuli/cues/suppress_cue_image.png,stimuli/images/fruits/mixed_grapes05.png
places,faces,suppress,2,right,1,uncued,NA,16,4,0,stimuli/images/places/yellow_sand_beach.png,stimuli/images/faces/penelope_cruz.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/yellow_sand_beach.png
fruits,places,maintain,1,left,1,uncued,NA,17,5,0,stimuli/images/fruits/sliced_fuji.png,stimuli/images/places/flatiron_building.png,stimuli/cues/maintain_cue_image.png,stimuli/images/places/flatiron_building.png
places,fruits,suppress,0,left,1,lure,NA,18,4,0,stimuli/images/places/harvard.png,stimuli/images/fruits/fresh_fuji.png,stimuli/cues/suppress_cue_image.png,stimuli/images/places/harvard.png
fruits,faces,replace,1,right,1,replacement,places,19,3,0,stimuli/images/fruits/pear05.png,stimuli/images/faces/alex_rodriguez.png,stimuli/images/places/unique_mountains.png,stimuli/images/places/unique_mountains.png
places,faces,replace,1,right,1,replacement,fruits,20,3,0,stimuli/images/places/glass_bridge.png,stimuli/images/faces/mila_kunis.png,stimuli/images/fruits/halved_watermelon02.png,stimuli/images/fruits/halved_watermelon02.png
